category_name dish_name price description image-src votes
"Drinks (Beverages)" "Iced Americano" ₹225 "Double Espresso + Ice" https://b.zmtcdn.com/data/dish_photos/ac4/901492ae31e07bf2d13a88efec3aeac4.png?output-format=webp&fit=around|130:130&crop=130:130;*,* 
"Drinks (Beverages)" "Choco Caramel Upside Down Shake" ₹300 "Thick Milkshake with notes of chocolate and caramel layered with whipped cream" https://b.zmtcdn.com/data/dish_photos/d95/3fab7e644514d9c44626ee3a5b22fd95.jpg?output-format=webp&fit=around|130:130&crop=130:130;*,* 
"Drinks (Beverages)" "Chocolate Shake" ₹295 "Sinful with notes of Belgian chocolate milkshake" https://b.zmtcdn.com/data/dish_photos/ec3/f611fa6ae67347f75f1a9edd37d72ec3.jpg?output-format=webp&fit=around|130:130&crop=130:130;*,* 
"Drinks (Beverages)" "Classic 90s Cold Coffee" ₹265 "Double Espresso + Milk + Ice. A classic cold coffee recipe like no ... read more" https://b.zmtcdn.com/data/dish_photos/064/c9b9345822dd515d8ed4369af30d6064.jpg?output-format=webp&fit=around|130:130&crop=130:130;*,* 
"Drinks (Beverages)" "Classic Lemonade" ₹235  https://b.zmtcdn.com/data/dish_photos/49d/05f6b3c3d7ec409ccb6dd836cc84f49d.jpg?output-format=webp&fit=around|130:130&crop=130:130;*,* 
"Drinks (Beverages)" "Iced Mocha" ₹265 "Espresso + Milk + Ice + Chocolate" https://b.zmtcdn.com/data/dish_photos/4f8/73c05235096930ad753fac8f6d7824f8.jpg?output-format=webp&fit=around|130:130&crop=130:130;*,* 
"Drinks (Beverages)" "Cold Brew (black)" ₹210 "Pure Coffee on the Rocks" https://b.zmtcdn.com/data/dish_photos/823/e64235e3ea6a56d348d7bce7b8cf2823.jpg?output-format=webp&fit=around|130:130&crop=130:130;*,* 
"Drinks (Beverages)" "Hazelnut Iced Coffee" ₹280 "Espresso + Milk + Hazelnut + Ice" https://b.zmtcdn.com/data/dish_photos/ba8/1e02995309674c2df1fa8b0b3459cba8.jpg?output-format=webp&fit=around|130:130&crop=130:130;*,* 
"Drinks (Beverages)" "Hazelnut Mocha Frappe" ₹295 "Double Espresso cold coffee blended with ice, chocolate and hazelnut." https://b.zmtcdn.com/data/dish_photos/5d9/ac0e761fec0cef3b8cb1f2093da475d9.jpg?output-format=webp&fit=around|130:130&crop=130:130;*,* 
"Drinks (Beverages)" "Iced Latte" ₹235 "Espresso + Milk + Ice" https://b.zmtcdn.com/data/dish_photos/f3b/1558928da5ebadb2a3ab6dfa9776bf3b.png?output-format=webp&fit=around|130:130&crop=130:130;*,* 
"Drinks (Beverages)" "Iced Matcha Latte" ₹265 "Japanese matcha tea served chilled. A delectable as well as a healthy beverage" https://b.zmtcdn.com/data/dish_photos/1dd/a818f15daf981d5027817b5d6567a1dd.jpg?output-format=webp&fit=around|130:130&crop=130:130;*,* 
"Drinks (Beverages)" "Java Chip Frappe" ₹270 "Double espresso cold coffee with semi sweet choco chips in every sip" https://b.zmtcdn.com/data/dish_photos/68b/34f1256d60c76dfbba0177172abf768b.png?output-format=webp&fit=around|130:130&crop=130:130;*,* 
"Drinks (Beverages)" "Lemon Iced Tea" ₹245 "Classic lemon flavored Iced Tea" https://b.zmtcdn.com/data/dish_photos/de6/8c6b324558284628aee522d54912cde6.jpg?output-format=webp&fit=around|130:130&crop=130:130;*,* 
"Drinks (Beverages)" "Mint Iced Tea" ₹249 "Mint flavoured Iced Tea"  
"Drinks (Beverages)" "Mocha Ice Blended" ₹275 "Double Espresso + Ice Cream + Chocolate" https://b.zmtcdn.com/data/dish_photos/9f4/862e5a4c866147c571aff1ad2161b9f4.png?output-format=webp&fit=around|130:130&crop=130:130;*,* 
"Drinks (Beverages)" "Mint Mojito" ₹245 "Summer refresher. All time favorite mojito" https://b.zmtcdn.com/data/dish_photos/f33/044eb13130733bb52815679cb1220f33.png?output-format=webp&fit=around|130:130&crop=130:130;*,* 
"Drinks (Beverages)" "Thick Oreo Shake" ₹295 "A thick milk shake and a blend of ice cream and oreos" https://b.zmtcdn.com/data/dish_photos/c87/6b3c0c3e0e43db5570f69aa05bbdbc87.jpg?output-format=webp&fit=around|130:130&crop=130:130;*,* 
"Drinks (Beverages)" "Roasted Hazelnut Ice Blended" ₹290 "Double Espresso + Milk + Ice Cream + Roasted Hazelnut Flavour" https://b.zmtcdn.com/data/dish_photos/27c/e0cc3cc331b0bd05c28cb54780fc927c.png?output-format=webp&fit=around|130:130&crop=130:130;*,* 
"Drinks (Beverages)" "Sugar Free Frappe" ₹295 "Double Espresso cold coffee blended with sugar free flavours and ice"  
"Drinks (Beverages)" "Sugar-free Iced Tea" ₹229 "Lemon Iced Tea prepared with a sugar free base"  
"Drinks (Beverages)" "Kitkat Shake" ₹335 "You deserve that break. A sinful milk shake" https://b.zmtcdn.com/data/dish_photos/85f/b634b6415cc10c8d2136fbafe862b85f.png?output-format=webp&fit=around|130:130&crop=130:130;*,* 
"Drinks (Beverages)" "Upside-down Caramel Frappe" ₹295 "Double Espresso cold coffee blended with ice, caramel and milk." https://b.zmtcdn.com/data/dish_photos/c11/8d881f87240b4659c33f6434fd3aac11.png?output-format=webp&fit=around|130:130&crop=130:130;*,* 
"Drinks (Beverages)" "Upside-down Mocha Frappe" ₹295 "Double Espresso cold coffee blended with ice, chocolate and milk." https://b.zmtcdn.com/data/dish_photos/1c7/994b499a2c0063599f09b6b3f4f2c1c7.jpg?output-format=webp&fit=around|130:130&crop=130:130;*,* 
"Drinks (Beverages)" "Vanilla Iced Coffee" ₹265 "Double Espresso + Ice Cream + Ice" https://b.zmtcdn.com/data/dish_photos/493/4cf98dd1846fd476368cb9a996aa9493.jpg?output-format=webp&fit=around|130:130&crop=130:130;*,* 
"Drinks (Beverages)" "Vanilla Shake" ₹295 "As classic as it gets. Pure Vanilla milk shake" https://b.zmtcdn.com/data/dish_photos/ada/463b1a5f6ac4897abb8537399f4e4ada.jpg?output-format=webp&fit=around|130:130&crop=130:130;*,* 
"Drinks (Beverages)" "VB Ice Cream Blend" ₹305 "Triple Espresso cold coffee + Special Milk Ice Cream" https://b.zmtcdn.com/data/dish_photos/6f2/05eddacdd4c5a7ea5298f315cda9d6f2.jpg?output-format=webp&fit=around|130:130&crop=130:130;*,* 
"Drinks (Beverages)" "Honey Blended Cold Brew" ₹229 "Cold Brew + Honey" https://b.zmtcdn.com/data/dish_photos/a8e/9146554015f60e0559e2127d185b4a8e.png?output-format=webp&fit=around|130:130&crop=130:130;*,* 
"Drinks (Beverages)" "Honey Cinnamon Cold Brew" ₹229 "Cold Brew + Ice + Honey + Srilankan Cinnamon" https://b.zmtcdn.com/data/dish_photos/7fc/0b204610ea4153167db61610b09587fc.jpg?output-format=webp&fit=around|130:130&crop=130:130;*,* 
"Drinks (Beverages)" "Vietnamese Iced Coffee" ₹265 "Double Espresso + Condensed Milk + Ice" https://b.zmtcdn.com/data/dish_photos/5d9/ac891e273952bfe03a253a38cdbea5d9.jpg?output-format=webp&fit=around|130:130&crop=130:130;*,* 
"Drinks (Beverages)" "Vanilla Creme Cold Brew" ₹219 "Cold Brew + Ice + Vanilla Cream" https://b.zmtcdn.com/data/dish_photos/df5/e7f17bbd51d9e3ce5680148b244d1df5.png?output-format=webp&fit=around|130:130&crop=130:130;*,* 
Waffles "Chocolate Waffle" ₹285 "Signature vanilla waffle served with Belgian Chocolate ice cream & chocolate syrup" https://b.zmtcdn.com/data/dish_photos/c25/7580131817ce2ae946a60a0540e02c25.jpg?output-format=webp&fit=around|130:130&crop=130:130;*,* 
Waffles "Nutella Waffle" ₹295 "Signature Waffle served with Nutella & Whipped Cream" https://b.zmtcdn.com/data/dish_photos/cef/e659ad9534a58dc2aa365b957f905cef.jpg?output-format=webp&fit=around|130:130&crop=130:130;*,* 
